(class_part, value_part, line_number)
($mfunction, $mfunction, 132)
(main, main, 132)
(void, void, 132)
((, (, 132)
(), ), 132)
({, {, 132)
(}, }, 134)
(abstract, abstract, 136)
(class, class, 136)
(ID, people, 136)
({, {, 136)
(shared, shared, 137)
({, {, 137)
(take, take, 138)
(data_type, string, 138)
(:, :, 138)
(ID, name, 138)
(,, ,, 138)
(data_type, float, 138)
(:, :, 138)
(ID, age, 138)
(,, ,, 138)
(data_type, string, 138)
(:, :, 138)
(ID, gender, 138)
(;, ;, 138)
($function, $function, 139)
(ID, people, 139)
(void, void, 139)
((, (, 139)
(data_type, string, 139)
(ID, name, 139)
(,, ,, 139)
(data_type, float, 139)
(ID, age, 139)
(,, ,, 139)
(data_type, string, 139)
(ID, gender, 139)
(), ), 139)
({, {, 139)
(ID, this, 140)
(., ., 140)
(ID, name, 140)
(assignment, =, 140)
(ID, name, 140)
(;, ;, 140)
(ID, this, 141)
(., ., 141)
(ID, gender, 141)
(assignment, =, 141)
(ID, gender, 141)
(;, ;, 141)
(ID, this, 142)
(., ., 142)
(ID, age, 142)
(assignment, =, 142)
(ID, age, 142)
(;, ;, 142)
(}, }, 143)
(}, }, 144)
(}, }, 145)
($, $, -1)
